Port Code,Street Address,City,State,Postal Code,Field
3385,0871 Cooley Mesa Road,Gypsum,CO,81637,Portland
3383,11755 Airport Way,Broomfield,CO,80021,Portland
0410,915 Lafayette Blvd. - Room 201,Bridgeport,CT,06604,Boston
0411,Bradley International Airport,Windsor Locks,CT,06096,Boston
0412,150 Court Street - Suite 672,New Haven,CT,06511,Boston
0413,150 Bank Street,New London,CT,06320,Boston
1103,908 New Churchman's Road,New Castle,DE,19720,Baltimore
1803,10426 Alta Drive,Jacksonville,FL,32226,Tampa
1801,"1624 East Seventh Avenue, Suite 101",Tampa,FL,33605,Tampa
1816,200 George King Blvd,Cape Canaveral,FL,32920,Tampa
1884,720 Catalina Drive,Daytona Beach,FL,32114,Tampa
1805,403 North Third Street,Fernandina Beach,FL,32034,Tampa
1822,11000 Terminal Access Road #8636,Fort Myers,FL,33913,Tampa
5202,301 Simonton Street,Key West,FL,33040,Miami
1881,3900 Don Emerson Dr.,Lakeland,FL,33811,Tampa
1887,8742 Airport Blvd,Leesburg,FL,34788,Tampa
1885,One Air Terminal Parkway,Melbourne,FL,32901,Tampa
5206,4200 NW 21st Street,Miami,FL,33122,Miami
5201,903 South America Way,Miami,FL,33132,Miami
1880,2460 Tower Drive,Naples,FL,34104,Tampa
1888,365 Rickenbacker Drive,Orlando,FL,32803,Tampa
1808,9043 Tradeport Drive,Orlando,FL,32827,Tampa
1818,140 Richard Jackson Blvd. Suite 160,Panama City Beach,FL,32407,Tampa
1819,880 N Reus St.,Pensacola,FL,32501,Tampa
5203,1800 Eller Drive,Fort Lauderdale,FL,33316,Miami
1821,400 Tampa Bay Way,Palmetto,FL,34221,Tampa
1809,"1100 Red Cleveland Blvd., Suite 100",Sanford,FL,32773,Tampa
1883,6048 Airport Circle,Sarasota,FL,34243-2159,
1889,396 Estrella Ave,St. Augustine,FL,32095,Tampa
1814,14700 Terminal Blvd. #120,Clearwater,FL,33762,Tampa
5204,1 East 11th Street,Riviera Beach,FL,33404,Miami
1704,157 Tradeport Drive,Atlanta,GA,30354,
1701,"700 Gloucester Street, 2nd Floor",Brunswick,GA,31520,Atlanta
1703,1 East Bay Street,Savannah,GA,31401,Atlanta
3202,29 Kuhio Street,Hilo,HI,96720,San Francisco
3205,Honolulu International Airport,Honolulu,HI,96819,San Francisco
3201,300 Ala Moana Blvd. Room 2500,Honolulu,HI,96850,San Francisco
3203,Kahului Airport,Kahului,HI,96732,San Francisco
3206,"Kona International Airport, Federal Inspection Sta",Kailua-Kona,HI,96740,San Francisco
3204,Lihue Airport,Lihue,HI,96766,San Francisco
2907,4655 S. Enterprise Street,Boise,ID,83705,Portland
3302,Hwy 95 N. at Canadian border,Eastport,ID,83826,Seattle
3308,Highway 1 at Canadian Border,Porthill,ID,83853-0040,Seattle
3901,5600 Pearl Street,Rosemont,IL,60018,Chicago
3908,2480 69th Avenue,Moline,IL,61265,Chicago
3985,Decatur Airport,Decatur,IL,62521,Chicago
4581,8810 Richard Brauer Road,Mascoutah,IL,62258,Chicago
3902,6100 W. Everett M. Dirksen Parkway,Peoria,IL,61607-1778,Chicago
3909,50 Airport Drive,Rockford,IL,61109,Chicago
3981,3558 N. McAree Road,Waukegan,IL,60087,Chicago
3984,DuPage County Airport,West Chicago,IL,60185-0787,Chicago
3983,Chicago Executive Airport,Wheeling,IL,60090,Chicago
4116,"101 N.W. Martin Luther King, Jr. Boulevard",Evansville,IN,47708,Chicago
4183,12602 Global Drive,Yoder,IN,46798,Chicago
3905,6001-A Airport Road,Gary,IN,46406,Chicago
4110,Indianapolis International Airport,Indianapolis,IN,46241,Chicago
3513,6000 Fleur Drive,Des Moines,IA,50321,Chicago
